SWVersion:1.0
Serial Number,Test Start Time,Test Stop Time, SubStation ID, Overall Result, FailingBands,Frequency（GHz）,Mag Log(dB),
_No_Have_Barcode_,2021/6/7 13:57:43,2021/6/7 13:57:45,HV0-1,FAIL,S11 S22 S33 S44 ,6.456,-40.575814317,
,2021/6/7 13:58:00,2021/6/7 13:58:02,HV0-1,FAIL,S11 S22 S33 S44 ,6.456,-40.5274358591,
,2021/6/7 13:58:53,2021/6/7 13:58:55,HV0-1,FAIL,S11 S22 S33 S44 ,6.456,-40.5649740125,
,2021/6/7 13:59:35,2021/6/7 13:59:37,HV0-1,FAIL,S11 S22 S33 S44 ,6.456,-40.4731139582,
,2021/6/7 13:59:41,2021/6/7 13:59:43,HV0-1,FAIL,S11 S22 S33 S44 ,6.456,-40.4873812059,
,2021/6/7 13:59:43,2021/6/7 13:59:45,HV0-1,FAIL,S11 S22 S33 S44 ,6.456,-40.6355620418,
,2021/6/7 13:59:45,2021/6/7 13:59:47,HV0-1,FAIL,S11 S22 S33 S44 ,6.456,-40.3978731091,
,2021/6/7 13:59:47,2021/6/7 13:59:49,HV0-1,FAIL,S11 S22 S33 S44 ,6.456,-40.396664208,
,2021/6/7 13:59:50,2021/6/7 13:59:51,HV0-1,FAIL,S11 S22 S33 S44 ,6.456,-40.3657903496,
,2021/6/7 13:59:52,2021/6/7 13:59:54,HV0-1,FAIL,S11 S22 S33 S44 ,6.456,-40.4103634884,
,2021/6/7 13:59:54,2021/6/7 13:59:56,HV0-1,FAIL,S11 S22 S33 S44 ,6.456,-40.5539538018,
,2021/6/7 13:59:56,2021/6/7 13:59:58,HV0-1,FAIL,S11 S22 S33 S44 ,6.456,-40.4491226343,
,2021/6/7 13:59:58,2021/6/7 14:00:00,HV0-1,FAIL,S11 S22 S33 S44 ,6.456,-40.5643945382,
,2021/6/7 14:00:00,2021/6/7 14:00:04,HV0-1,FAIL,S11 S22 S33 S44 ,6.456,-40.377793723,
_No_Have_Barcode_,2021/6/7 14:00:04,2021/6/7 14:00:06,HV0-1,FAIL,S11 S22 S33 S44 ,6.456,-40.4518466362,
,2021/6/7 14:00:07,2021/6/7 14:00:08,HV0-1,FAIL,S11 S22 S33 S44 ,6.456,-40.477091804,
,2021/6/7 14:00:09,2021/6/7 14:00:11,HV0-1,FAIL,S11 S22 S33 S44 ,6.456,-40.4203482712,
,2021/6/7 14:00:11,2021/6/7 14:00:13,HV0-1,FAIL,S11 S22 S33 S44 ,6.456,-40.4567440652,
,2021/6/7 14:00:14,2021/6/7 14:00:16,HV0-1,FAIL,S11 S22 S33 S44 ,6.456,-40.4449161836,
,2021/6/7 14:00:16,2021/6/7 14:00:18,HV0-1,FAIL,S11 S22 S33 S44 ,6.456,-40.2599975369,
_No_Have_Barcode_,2021/6/7 14:00:41,2021/6/7 14:00:43,HV0-1,FAIL,S11 S22 S33 S44 ,6.456,-40.4798519022,
,2021/6/7 14:00:43,2021/6/7 14:00:45,HV0-1,FAIL,S11 S22 S33 S44 ,6.456,-40.5015440199,
,2021/6/7 14:00:45,2021/6/7 14:00:47,HV0-1,FAIL,S11 S22 S33 S44 ,6.456,-40.5608640059,
_No_Have_Barcode_,2021/6/7 14:00:48,2021/6/7 14:00:50,HV0-1,FAIL,S11 S22 S33 S44 ,6.456,-40.5353025048,
,2021/6/7 14:00:50,2021/6/7 14:00:52,HV0-1,FAIL,S11 S22 S33 S44 ,6.456,-40.3353222588,
,2021/6/7 14:00:52,2021/6/7 14:00:54,HV0-1,FAIL,S11 S22 S33 S44 ,6.456,-40.4993634934,
_No_Have_Barcode_,2021/6/7 14:00:55,2021/6/7 14:00:57,HV0-1,FAIL,S11 S22 S33 S44 ,6.456,-40.3848948807,
,2021/6/7 14:00:57,2021/6/7 14:00:59,HV0-1,FAIL,S11 S22 S33 S44 ,6.456,-40.5128849113,
,2021/6/7 14:00:59,2021/6/7 14:01:01,HV0-1,FAIL,S11 S22 S33 S44 ,6.456,-40.5548267738,
_No_Have_Barcode_,2021/6/7 14:01:02,2021/6/7 14:01:04,HV0-1,FAIL,S11 S22 S33 S44 ,6.456,-40.3957475794,
,2021/6/7 14:01:04,2021/6/7 14:01:06,HV0-1,FAIL,S11 S22 S33 S44 ,6.456,-40.5733494597,
,2021/6/7 14:01:06,2021/6/7 14:01:08,HV0-1,FAIL,S11 S22 S33 S44 ,6.456,-40.4080673932,
_No_Have_Barcode_,2021/6/7 14:01:09,2021/6/7 14:01:11,HV0-1,FAIL,S11 S22 S33 S44 ,6.456,-40.482427176,
,2021/6/7 14:01:11,2021/6/7 14:01:13,HV0-1,FAIL,S11 S22 S33 S44 ,6.456,-40.5174119487,
,2021/6/7 14:01:13,2021/6/7 14:01:15,HV0-1,FAIL,S11 S22 S33 S44 ,6.456,-40.4290884659,
_No_Have_Barcode_,2021/6/7 14:01:16,2021/6/7 14:01:18,HV0-1,FAIL,S11 S22 S33 S44 ,6.456,-40.506523136,
,2021/6/7 14:01:18,2021/6/7 14:01:20,HV0-1,FAIL,S11 S22 S33 S44 ,6.456,-40.5500909913,
,2021/6/7 14:01:20,2021/6/7 14:01:22,HV0-1,FAIL,S11 S22 S33 S44 ,6.456,-40.4109800741,
_No_Have_Barcode_,2021/6/7 14:01:23,2021/6/7 14:01:25,HV0-1,FAIL,S11 S22 S33 S44 ,6.456,-40.546436415,
,2021/6/7 14:01:25,2021/6/7 14:01:27,HV0-1,FAIL,S11 S22 S33 S44 ,6.456,-40.3843261703,
,2021/6/7 14:01:27,2021/6/7 14:01:29,HV0-1,FAIL,S11 S22 S33 S44 ,6.456,-40.4386897442,
_No_Have_Barcode_,2021/6/7 14:01:30,2021/6/7 14:01:32,HV0-1,FAIL,S11 S22 S33 S44 ,6.456,-40.3722021545,
