MacID,Product,LineID,Operator,Barcode,Time,Acupoint,Result,Connect TitileChinese,Open,S201_OFF1,S202_OFF1,S203_OFF1,S201_ON,S202_ON,S203_ON,S201_OFF2,S202_OFF2,S203_OFF2,
Upper Limits----->,,,,,,,,,TBD,99,99,99,5,5,5,99,99,99,
Lower Limits----->,,,,,,,,,2,2,2,2,0,0,0,2,2,2,
Measurement Unit----->,,,,,,,,,Mohm,Mohm,Mohm,Mohm,ohm,ohm,ohm,Mohm,Mohm,Mohm,
HV0-1,FSAPHV0,L2-10,FSPA123,NOSCAN,2021/7/12 8:26:37,,FAIL,,OK,9.9000,9.9000,9.9000,999.0000,,,,,,
HV0-1,FSAPHV0,L2-10,FSPA123,NOSCAN,2021/7/12 8:26:40,,FAIL,,OK,9.9000,9.9000,9.9000,999.0000,,,,,,
HV0-1,FSAPHV0,L2-10,FSPA123,NOSCAN,2021/7/12 8:26:44,,FAIL,,OK,9.9000,9.9000,9.9000,999.0000,,,,,,
HV0-1,FSAPHV0,L2-10,FSPA123,NOSCAN,2021/7/12 8:26:47,,FAIL,,OK,9.9000,9.9000,9.9000,999.0000,,,,,,
HV0-1,FSAPHV0,L2-10,FSPA123,NOSCAN,2021/7/12 8:26:50,,FAIL,,OK,9.9000,9.9000,9.9000,999.0000,,,,,,
HV0-1,FSAPHV0,L2-10,FSPA123,NOSCAN,2021/7/12 8:26:54,,FAIL,,OK,9.9000,9.9000,9.9000,999.0000,,,,,,
HV0-1,FSAPHV0,L2-10,FSPA123,NOSCAN,2021/7/12 8:26:57,,FAIL,,OK,9.9000,9.9000,9.9000,999.0000,,,,,,
HV0-1,FSAPHV0,L2-10,FSPA123,NOSCAN,2021/7/12 8:27:00,,FAIL,,OK,9.9000,9.9000,9.9000,999.0000,,,,,,
HV0-1,FSAPHV0,L2-10,FSPA123,NOSCAN,2021/7/12 8:27:03,,FAIL,,OK,9.9000,9.9000,9.9000,999.0000,,,,,,
HV0-1,FSAPHV0,L2-10,FSPA123,NOSCAN,2021/7/12 8:27:06,,FAIL,,OK,9.9000,9.9000,9.9000,999.0000,,,,,,
HV0-1,FSAPHV0,L2-10,FSPA123,NOSCAN,2021/7/12 8:27:10,,FAIL,,OK,9.9000,9.9000,9.9000,999.0000,,,,,,
HV0-1,FSAPHV0,L2-10,FSPA123,NOSCAN,2021/7/12 8:27:13,,FAIL,,OK,9.9000,9.9000,9.9000,999.0000,,,,,,
HV0-1,FSAPHV0,L2-10,FSPA123,NOSCAN,2021/7/12 8:27:16,,FAIL,,OK,9.9000,9.9000,9.9000,999.0000,,,,,,
HV0-1,FSAPHV0,L2-10,FSPA123,NOSCAN,2021/7/12 8:27:20,,FAIL,,OK,9.9000,9.9000,9.9000,999.0000,,,,,,
HV0-1,FSAPHV0,L2-10,FSPA123,NOSCAN,2021/7/12 8:27:23,,FAIL,,OK,9.9000,9.9000,9.9000,999.0000,,,,,,
HV0-1,FSAPHV0,L2-10,FSPA123,NOSCAN,2021/7/12 8:27:26,,FAIL,,OK,9.9000,9.9000,9.9000,999.0000,,,,,,
HV0-1,FSAPHV0,L2-10,FSPA123,NOSCAN,2021/7/12 8:27:29,,FAIL,,OK,9.9000,9.9000,9.9000,999.0000,,,,,,
HV0-1,FSAPHV0,L2-10,FSPA123,NOSCAN,2021/7/12 8:27:35,,FAIL,,OK,9.9000,9.9000,9.9000,999.0000,,,,,,
HV0-1,FSAPHV0,L2-10,FSPA123,NOSCAN,2021/7/12 8:27:39,,FAIL,,OK,9.9000,9.9000,9.9000,999.0000,,,,,,
HV0-1,FSAPHV0,L2-10,FSPA123,NOSCAN,2021/7/12 8:27:42,,FAIL,,OK,9.9000,9.9000,9.9000,999.0000,,,,,,
HV0-1,FSAPHV0,L2-10,FSPA123,NOSCAN,2021/7/12 8:27:45,,FAIL,,OK,9.9000,9.9000,9.9000,999.0000,,,,,,
HV0-1,FSAPHV0,L2-10,FSPA123,NOSCAN,2021/7/12 8:27:48,,FAIL,,OK,9.9000,9.9000,9.9000,999.0000,,,,,,
HV0-1,FSAPHV0,L2-10,FSPA123,NOSCAN,2021/7/12 8:27:52,,FAIL,,OK,9.9000,9.9000,9.9000,999.0000,,,,,,
HV0-1,FSAPHV0,L2-10,FSPA123,NOSCAN,2021/7/12 8:27:55,,FAIL,,OK,9.9000,9.9000,9.9000,999.0000,,,,,,
HV0-1,FSAPHV0,L2-10,FSPA123,NOSCAN,2021/7/12 8:27:58,,FAIL,,OK,9.9000,9.9000,9.9000,999.0000,,,,,,
HV0-1,FSAPHV0,L2-10,FSPA123,NOSCAN,2021/7/12 8:28:42,,FAIL,,OK,9.9000,9.9000,9.9000,999.0000,,,,,,
HV0-1,FSAPHV0,L2-10,FSPA123,NOSCAN,2021/7/12 8:28:52,,FAIL,,OK,9.9000,9.9000,9.9000,999.0000,,,,,,
HV0-1,FSAPHV0,L2-10,FSPA123,NOSCAN,2021/7/12 8:29:01,,FAIL,,OK,9.9000,9.9000,9.9000,999.0000,,,,,,
HV0-1,FSAPHV0,L2-10,FSPA123,NOSCAN,2021/7/12 8:29:04,,FAIL,,OK,9.9000,9.9000,9.9000,999.0000,,,,,,
