MacID,Product,LineID,Operator,Barcode,Time,Acupoint,Result,Connect TitileChinese,J201_15-J202_16,J201_17-J202_18,J201_12-J202_11,J201_18-J202_17,J201_16-J202_15,J201_14-J202_13,J201_35-J201_43,J201_35-J201_32,J201_35-J201_38,J201_35-J201_44,J201_35-J202_36,J201_35-J202_44,J201_35-J202_31,J201_35-J202_37,J201_35-J202_43,J201_21-J202_22,J201_20-J202_19,J201_30-J202_29,J201_8-J202_7,J201_19-J202_20,J201_25-J202_26,J201_4-J202_3,J201_3-J202_4,J201_37-J202_38,J201_41-J202_42,J201_39-J202_40,J201_22-J202_21,J201_23-J202_24,J201_45-J201_47,J201_45-J202_46,J201_45-J202_48,J201_46-J201_48,J201_46-J202_45,J201_46-J202_47,J201_5-J202_6,J201_7-J202_8,J201_36-J202_35,J201_34-J202_33,J201_9-J202_10,J201_42-J202_41,J201_40-J202_39,J201_11-J202_12,J201_24-J202_23,J201_28-J202_27,J201_26-J202_25,J201_33-J202_34,J201_29-J202_30,J201_31-J202_32,J201_1-J201_51,J201_1-J201_2,J201_1-J202_2,J201_1-J202_1,J201_1-J202_51,J201_49-J201_50,J201_49-J201_52,J201_49-J202_50,J201_49-J202_52,J201_49-J202_49,J201_13-J202_14,J201_10-J202_9,J201_27-J202_28,J201_6-J202_5,OPEN,
Upper Limits----->,,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,TBD,
Lower Limits----->,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,
Measurement Unit----->,,,,,,,,,ohm,ohm,ohm,ohm,ohm,ohm,ohm,ohm,ohm,ohm,ohm,ohm,ohm,ohm,ohm,ohm,ohm,ohm,ohm,ohm,ohm,ohm,ohm,ohm,ohm,ohm,ohm,ohm,ohm,ohm,ohm,ohm,ohm,ohm,ohm,ohm,ohm,ohm,ohm,ohm,ohm,ohm,ohm,ohm,ohm,ohm,ohm,ohm,ohm,ohm,ohm,ohm,ohm,ohm,ohm,ohm,ohm,ohm,ohm,ohm,ohm,ohm,Mohm,
HV0-1,FSAPHV0,L2-10,FSPA123,NOSCAN,2021/7/12 13:23:00,,FAIL,,999.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HV0-1,FSAPHV0,L2-10,FSPA123,NOSCAN,2021/7/12 13:23:08,,FAIL,,999.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HV0-1,FSAPHV0,L2-10,FSPA123,NOSCAN,2021/7/12 13:26:06,,FAIL,,999.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HV0-1,FSAPHV0,L2-10,FSPA123,NOSCAN,2021/7/12 13:26:11,,FAIL,,999.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HV0-1,FSAPHV0,L2-10,FSPA123,NOSCAN,2021/7/12 13:26:15,,FAIL,,999.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HV0-1,FSAPHV0,L2-10,FSPA123,NOSCAN,2021/7/12 13:26:19,,FAIL,,999.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HV0-1,FSAPHV0,L2-10,FSPA123,NOSCAN,2021/7/12 13:26:24,,FAIL,,999.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
