SWVersion:1.0
Serial Number,Test Start Time,Test Stop Time, SubStation ID, Overall Result, FailingBands,S33: Band:b1 Freq:100MHz MLOG,S33: Band:b1 Freq:200MHz MLOG,S33: Band:b1 Freq:300MHz MLOG,S33: Band:b1 Freq:400MHz MLOG,S33: Band:b1 Freq:500MHz MLOG,S33: Band:b1 Freq:600MHz MLOG,S33: Band:b1 Freq:700MHz MLOG,S33: Band:b1 Freq:800MHz MLOG,S33: Band:b1 Freq:900MHz MLOG,S33: Band:b1 Freq:1000MHz MLOG,S33: Band:b1 Freq:1.1GHz MLOG,S33: Band:b1 Freq:1.2GHz MLOG,S33: Band:b1 Freq:1.3GHz MLOG,S33: Band:b1 Freq:1.4GHz MLOG,S33: Band:b1 Freq:1.5GHz MLOG,S33: Band:b1 Freq:1.6GHz MLOG,S33: Band:b1 Freq:1.7GHz MLOG,S33: Band:b1 Freq:1.8GHz MLOG,S33: Band:b1 Freq:1.9GHz MLOG,S33: Band:b1 Freq:2GHz MLOG,S33: Band:b1 Freq:2.1GHz MLOG,S33: Band:b1 Freq:2.2GHz MLOG,S33: Band:b1 Freq:2.3GHz MLOG,S33: Band:b1 Freq:2.4GHz MLOG,S33: Band:b1 Freq:2.5GHz MLOG,S33: Band:b1 Freq:2.6GHz MLOG,S33: Band:b1 Freq:2.7GHz MLOG,S33: Band:b1 Freq:2.8GHz MLOG,S33: Band:b1 Freq:2.9GHz MLOG,S33: Band:b1 Freq:3GHz MLOG,S33: Band:b1 Freq:3.1GHz MLOG,S33: Band:b1 Freq:3.2GHz MLOG,S33: Band:b1 Freq:3.3GHz MLOG,S33: Band:b1 Freq:3.4GHz MLOG,S33: Band:b1 Freq:3.5GHz MLOG,S33: Band:b1 Freq:3.6GHz MLOG,S33: Band:b1 Freq:3.7GHz MLOG,S33: Band:b1 Freq:3.8GHz MLOG,S33: Band:b1 Freq:3.9GHz MLOG,S33: Band:b1 Freq:4GHz MLOG,S33: Band:b1 Freq:4.1GHz MLOG,S33: Band:b1 Freq:4.2GHz MLOG,S33: Band:b1 Freq:4.3GHz MLOG,S33: Band:b1 Freq:4.4GHz MLOG,S33: Band:b1 Freq:4.5GHz MLOG,S33: Band:b1 Freq:4.6GHz MLOG,S33: Band:b1 Freq:4.7GHz MLOG,S33: Band:b1 Freq:4.8GHz MLOG,S33: Band:b1 Freq:4.9GHz MLOG,S33: Band:b1 Freq:5GHz MLOG,S33: Band:b1 Freq:5.1GHz MLOG,S33: Band:b1 Freq:5.2GHz MLOG,S33: Band:b1 Freq:5.3GHz MLOG,S33: Band:b1 Freq:5.4GHz MLOG,S33: Band:b1 Freq:5.5GHz MLOG,S33: Band:b1 Freq:5.6GHz MLOG,S33: Band:b1 Freq:5.7GHz MLOG,S33: Band:b1 Freq:5.8GHz MLOG,S33: Band:b1 Freq:5.9GHz MLOG,S33: Band:b1 Freq:6GHz MLOG,S33: Band:b1 Freq:6.1GHz MLOG,S33: Band:b1 Freq:6.2GHz MLOG,S33: Band:b1 Freq:6.3GHz MLOG,S33: Band:b1 Freq:6.4GHz MLOG,S33: Band:b1 Freq:6.5GHz MLOG,S33: Band:b1 Freq:6.6GHz MLOG,S33: Band:b1 Freq:6.7GHz MLOG,S33: Band:b1 Freq:6.8GHz MLOG,S33: Band:b1 Freq:6.9GHz MLOG,S33: Band:b1 Freq:7GHz MLOG,S33: Band:b1 Freq:7.1GHz MLOG,S33: Band:b1 Freq:7.2GHz MLOG,S33: Band:b1 Freq:7.3GHz MLOG,S33: Band:b1 Freq:7.4GHz MLOG,S33: Band:b1 Freq:7.5GHz MLOG,S33: Band:b1 Freq:7.6GHz MLOG,S33: Band:b1 Freq:7.7GHz MLOG,S33: Band:b1 Freq:7.8GHz MLOG,S33: Band:b1 Freq:7.9GHz MLOG,S33: Band:b1 Freq:8GHz MLOG,S33: Band:b1 Freq:8.1GHz MLOG,S33: Band:b1 Freq:8.2GHz MLOG,S33: Band:b1 Freq:8.3GHz MLOG,S33: Band:b1 Freq:8.4GHz MLOG,S33: Band:b1 Freq:8.5GHz MLOG,S33: Band:b1 Freq:8.6GHz MLOG,S33: Band:b1 Freq:8.7GHz MLOG,S33: Band:b1 Freq:8.8GHz MLOG,S33: Band:b1 Freq:8.9GHz MLOG,S33: Band:b1 Freq:9GHz MLOG,S33: Band:b1 Freq:9.1GHz MLOG,S33: Band:b1 Freq:9.2GHz MLOG,S33: Band:b1 Freq:9.3GHz MLOG,S33: Band:b1 Freq:9.4GHz MLOG,S33: Band:b1 Freq:9.5GHz MLOG,S33: Band:b1 Freq:9.6GHz MLOG,S33: Band:b1 Freq:9.7GHz MLOG,S33: Band:b1 Freq:9.8GHz MLOG,S33: Band:b1 Freq:9.9GHz MLOG,S33: Band:b1 Freq:10GHz MLOG
Upper Limits----->,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lower Limits----->,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Measurement Unit----->,,,,,,
_No_Have_Barcode_,2021/6/8 9:02:53,2021/6/8 9:02:55,HV0-1,FAIL,S11 S22 S33 S44 ,0.552756014331,0.753357441691,0.906180952349,0.994551819643,1.1613821884,1.36944993875,1.41899389944,1.48953160158,1.52629434704,1.69626724871,1.89671833572,1.83460280287,1.89969790375,1.98961706753,2.16481913431,2.25942622999,2.16106109037,2.26598307259,2.41660306482,2.49202583046,2.55245990414,2.44289662308,2.65420686249,2.78433512523,2.72463522015,2.78361841827,2.7807927715,3.03781143043,3.06162148798,2.92033848215,3.08150200923,3.11516192518,3.3201356438,3.22167880869,3.15090200146,3.44263854878,3.35068797803,3.55542313321,3.35805621954,3.46146394482,3.75472194254,3.52648834396,3.84864816389,3.49289695334,3.81479965758,3.96907251135,3.65451845464,4.1258870808,3.69837241797,4.13446043627,4.06920856553,3.81789791618,4.40121173101,3.90009845049,4.44007340096,4.11860260744,4.1034994076,4.58491519477,4.12184132249,4.76792023497,4.28271538188,4.4604253209,4.72366945857,4.37388632603,4.81903866803,4.49158787261,4.70723617791,4.80608111195,4.62870291232,4.86276660073,4.74545947269,4.7526913859,5.03508624787,4.76332813588,5.14088185208,5.05866289302,4.793584049,5.41308998886,4.88614008422,5.32887271988,5.11644633342,4.97166893424,5.74026988352,4.8431889694,5.6589756964,4.99774279179,5.39164428906,5.85717999752,4.8924037645,6.17392464578,4.94191026427,6.03929633407,5.59691963014,5.16518156025,6.25890771311,5.00979417003,6.67079530605,5.21674749764,5.71901824847,5.99090268689
,2021/6/8 9:02:55,2021/6/8 9:02:56,HV0-1,FAIL,S11 S22 S33 S44 ,0.551948170231,0.754659755439,0.905103727691,0.99486258731,1.15969830454,1.36998366202,1.41883102932,1.48897302516,1.52670765085,1.69599841482,1.89626001959,1.83543981229,1.89971733639,1.98755389474,2.16399641854,2.26034533803,2.16153233675,2.26734935901,2.41729934391,2.49106492968,2.55196936971,2.44225800086,2.65379025702,2.7833588722,2.72415639061,2.78439511895,2.78165295981,3.03721017164,3.06383275693,2.91977450909,3.08087819529,3.11562043649,3.32025274925,3.22123301669,3.15210330414,3.44167413803,3.35019488014,3.55247922771,3.35837306365,3.46125477461,3.75502720956,3.52580833526,3.84901994722,3.49198337443,3.81485799119,3.96837953251,3.65458184266,4.1245491792,3.69724412311,4.13325367005,4.06999250232,3.81833844077,4.40093400007,3.89974589906,4.44016484425,4.11791322552,4.10396915663,4.58588123122,4.12072976413,4.76803717713,4.2826390363,4.46070723993,4.72368862961,4.37351761938,4.8210460107,4.49090655391,4.7060588168,4.80572470206,4.62805164924,4.8623838983,4.7449530694,4.75305497084,5.03494332201,4.76393542072,5.14034430563,5.05742901726,4.79410815581,5.41229045741,4.88604687993,5.32667205929,5.11666031298,4.9711413004,5.73969960802,4.84340031114,5.65863042534,5.00366734912,5.39266854013,5.85667137707,4.88942568128,6.17215336294,4.93936844745,6.04068331499,5.59972625784,5.16461761889,6.25959557773,5.00516356349,6.66881043813,5.21836641452,5.71856329033,5.99236959666
,2021/6/8 9:02:56,2021/6/8 9:02:57,HV0-1,FAIL,S11 S22 S33 S44 ,0.552610946788,0.754230012531,0.904675514442,0.993858338863,1.16049730327,1.36997756557,1.4187789394,1.49000150772,1.52581494417,1.69526400752,1.89667011017,1.83562094812,1.90024929057,1.98922125322,2.16466517668,2.25890893055,2.16183790559,2.26741298326,2.41815166505,2.49150467462,2.55167078622,2.44243202191,2.65415525185,2.78437860042,2.72426458957,2.7836857974,2.7799227004,3.03692158349,3.06126405821,2.91840518292,3.0828238301,3.11557284488,3.32144193808,3.22165877372,3.15226606695,3.44297732266,3.35132123182,3.55304774611,3.35964454541,3.46126280859,3.75331127567,3.52701687242,3.84948258014,3.49287628398,3.81445062673,3.96930308677,3.65501350605,4.12477079244,3.69784347115,4.13336236778,4.06824556148,3.81813460987,4.40100079379,3.90016915653,4.44090909771,4.11846449916,4.10337999569,4.58526293256,4.12005962436,4.76777102211,4.28324086295,4.4600417371,4.72371151144,4.37306680617,4.8188091598,4.49094207307,4.70624772012,4.80551722748,4.62800969969,4.86369653816,4.74559835511,4.75279855402,5.03515741204,4.76407517847,5.14144505223,5.05756973741,4.79331645321,5.412921901,4.8863588155,5.32808184763,5.1167160337,4.97100450741,5.73999041998,4.84380551671,5.65845086809,5.00149736797,5.39201894366,5.85875813854,4.89304209011,6.17318282127,4.93777986121,6.04016168876,5.60173484217,5.16136431378,6.26186177001,5.00952092966,6.67421563563,5.21825918026,5.7173931027,5.9917717753
,2021/6/8 9:02:58,2021/6/8 9:02:59,HV0-1,FAIL,S11 S22 S33 S44 ,0.551923247672,0.753002487378,0.904152781388,0.996296636298,1.15914222456,1.36997072699,1.41837957225,1.49009716863,1.52520357492,1.69536522803,1.89589272242,1.83429208133,1.89974761888,1.9889091966,2.16390855546,2.25908782008,2.16104560548,2.26688090656,2.41669067147,2.49242824437,2.55147425944,2.44237873749,2.65364830358,2.78373182865,2.72453036056,2.78410310821,2.78142037325,3.03675843659,3.06175453256,2.91928250922,3.08163461728,3.11449338874,3.32070377741,3.22038472529,3.15123070139,3.44073984097,3.35068473852,3.55486403899,3.35894550264,3.46208259508,3.75383330533,3.52622837908,3.84861799831,3.4925920672,3.81386996188,3.96746221673,3.65540531331,4.12446532384,3.69788580312,4.13352991626,4.06892685708,3.81682866014,4.40119296748,3.89963601381,4.43996182752,4.11796228061,4.10307510253,4.58763533429,4.12108123995,4.76712822946,4.2831001029,4.46066046821,4.72351934146,4.37275894898,4.81951104382,4.49202031433,4.70759836578,4.80512044485,4.62783532357,4.8635314097,4.74459027448,4.75308955145,5.03480599636,4.7635571645,5.1408034354,5.05902559357,4.79380024678,5.41333431041,4.88556317365,5.32759374949,5.11657519679,4.97073357845,5.73961860402,4.8440067833,5.65839398146,5.00257083227,5.39501454923,5.8551461464,4.89310716452,6.16986176649,4.93953166648,6.04087015615,5.59818464771,5.16089778805,6.26302398864,5.00823876675,6.67132716163,5.21802811088,5.717159192,5.99341286581
,2021/6/8 9:02:59,2021/6/8 9:03:00,HV0-1,FAIL,S11 S22 S33 S44 ,0.551678830371,0.753868685977,0.903347229402,0.995237337594,1.16045397969,1.36984218245,1.4185818028,1.48917117458,1.52743096589,1.69555290531,1.89528504527,1.83463453022,1.90048259001,1.98933965538,2.16320479687,2.25846058977,2.16117050693,2.26595842749,2.41635370714,2.49040471034,2.55174405756,2.44307761214,2.65357803446,2.78523625126,2.7233307815,2.78452957676,2.7811272285,3.0369691666,3.06281505726,2.91946319781,3.08219181768,3.11440594695,3.3205878947,3.22174462588,3.15214536967,3.44099201761,3.35027441148,3.55401248638,3.35881259147,3.46081592086,3.75542035322,3.52619515714,3.84800918966,3.49297102096,3.81537392107,3.9675404695,3.65477635708,4.12326476645,3.69766831587,4.1339479842,4.06939725773,3.81675238994,4.39977818743,3.90016453474,4.4400345333,4.11777230653,4.10302468266,4.58625269341,4.12026257611,4.76864419895,4.28314022252,4.46118657706,4.72327114732,4.37292003249,4.81985875266,4.48973604042,4.70752758932,4.80562247128,4.62790299064,4.86306297285,4.74463540985,4.75237052109,5.03651306985,4.76323193219,5.14034519512,5.05794949788,4.79368846239,5.41405216532,4.88604180539,5.32767787519,5.11706199128,4.97174729812,5.73953096493,4.84295192669,5.65937771929,5.00430718173,5.39318425433,5.85848607397,4.89241614266,6.16929627715,4.93899104082,6.037631425,5.59856911603,5.16322468439,6.25860566179,5.00969446822,6.67177955892,5.21871742213,5.71968289477,5.99339429139
,2021/6/8 9:03:00,2021/6/8 9:03:01,HV0-1,FAIL,S11 S22 S33 S44 ,0.553150903113,0.754007518433,0.904017424602,0.994850850366,1.16159966989,1.37036352959,1.41921296609,1.48961265313,1.52645000194,1.69469196546,1.89580779466,1.83479394501,1.89868445098,1.98848134614,2.16322619707,2.25968230795,2.16136919374,2.26542300363,2.41727319702,2.49270279838,2.55056083749,2.44401758972,2.65482735667,2.78436151809,2.72528109998,2.78423690985,2.78130759109,3.0371038387,3.06139156869,2.92012669815,3.08328309814,3.11431941577,3.32105001416,3.22103911865,3.15114416695,3.44292928047,3.35065604044,3.55492433763,3.35825031525,3.46202405089,3.75430463963,3.52640034581,3.84669509744,3.49275470765,3.81576344442,3.96739549233,3.65466566114,4.12465709124,3.69731682872,4.13209164733,4.06895089387,3.81688736396,4.40219492999,3.9018755615,4.44065823312,4.11771140841,4.10281304601,4.58624029948,4.12026924444,4.7679052789,4.28360653473,4.46061204255,4.72371720975,4.37264451988,4.82014623233,4.49082852757,4.70788100172,4.80515969245,4.62746840629,4.86349125347,4.74621574198,4.75351597603,5.03555184591,4.76322338249,5.14060152774,5.05792420987,4.79322815206,5.41371690321,4.88613174978,5.32791608656,5.11721818137,4.97101851934,5.73865247512,4.84380876025,5.65795703419,5.00170822097,5.39448684832,5.85774264419,4.89145178168,6.16981425386,4.9376777888,6.04173615079,5.59782159296,5.16338388478,6.26128266217,5.01061453461,6.67093834109,5.21902762651,5.72107053635,5.99391793708
,2021/6/8 9:03:02,2021/6/8 9:03:03,HV0-1,FAIL,S11 S22 S33 S44 ,0.553130414063,0.754311387216,0.904406262188,0.994510541997,1.15969485797,1.36926843981,1.41819945389,1.48945444293,1.52706861972,1.69521708057,1.89746529044,1.83571037927,1.89960224324,1.98909266585,2.16384089701,2.25917803811,2.16163755743,2.26769029216,2.41720367425,2.49225350068,2.55090337927,2.44215067171,2.65226362283,2.78306821047,2.7258346255,2.78389032031,2.78229976987,3.03814213172,3.06106783007,2.92022657443,3.08094024637,3.1152793299,3.32164310376,3.22234721293,3.15090237677,3.44179549623,3.35103951831,3.55450108027,3.35797286358,3.46081132955,3.75500156705,3.52607840151,3.84885742112,3.49315732984,3.81546773128,3.96814129202,3.65584035843,4.12456788316,3.69765910028,4.13329360154,4.06927703156,3.81644460877,4.40023837507,3.90120101143,4.4409130931,4.11757624395,4.10380338127,4.5864387694,4.12031159784,4.76789010935,4.28371654203,4.46263544474,4.72362369987,4.37322740523,4.81907384757,4.49083002805,4.70760656247,4.8049230162,4.62784841409,4.86286214665,4.7455128553,4.75238866704,5.03500866711,4.76379097749,5.14071850808,5.05787701278,4.79422110217,5.41222323829,4.88628072116,5.3275378332,5.11696056694,4.97168323377,5.73931477292,4.84404180202,5.6592353091,5.00619033574,5.39361775156,5.85893404815,4.89191889178,6.16988377227,4.9384010154,6.04193142283,5.59885216477,5.16466574008,6.26375362311,5.00790474375,6.67074556073,5.21575938543,5.71773638355,5.99406805137
