SWVersion:1.0,,,,,,,
Serial Number,Test Start Time,Test Stop Time, SubStation ID, Overall Result, FailingBands,Frequency（GHz）,Mag Log(dB)
AMV0311820024671W30,2021/6/13 15:17,2021/6/13 15:17,HV0-1,FAIL,S11 S22 S33 S44 ,6.357,-9.349192943
,2021/6/13 15:17,2021/6/13 15:18,HV0-1,FAIL,S44 ,6.456,-12.00156744
,2021/6/13 15:18,2021/6/13 15:18,HV0-1,FAIL,S44 ,6.426,-11.15177061
AMV0311820024671W30,2021/6/13 15:18,2021/6/13 15:18,HV0-1,FAIL,S11 S33 S44 ,6.347,-9.359493039
,2021/6/13 15:18,2021/6/13 15:18,HV0-1,FAIL,S44 ,6.456,-12.06426908
,2021/6/13 15:18,2021/6/13 15:18,HV0-1,FAIL,S44 ,6.426,-11.12108268
AMV0311820024671W30,2021/6/13 15:18,2021/6/13 15:18,HV0-1,FAIL,S11 S33 S44 ,6.347,-9.361897725
,2021/6/13 15:18,2021/6/13 15:18,HV0-1,PASS,NONE,6.456,-12.07820761
,2021/6/13 15:18,2021/6/13 15:18,HV0-1,FAIL,S44 ,6.426,-11.10392261
AMV0311820024671W30,2021/6/13 15:19,2021/6/13 15:19,HV0-1,FAIL,S11 S33 S44 ,6.337,-9.360719711
,2021/6/13 15:19,2021/6/13 15:19,HV0-1,PASS,NONE,6.456,-12.07950977
,2021/6/13 15:19,2021/6/13 15:19,HV0-1,FAIL,S44 ,6.426,-11.1232048
AMV0311820024671W30,2021/6/13 15:19,2021/6/13 15:19,HV0-1,FAIL,S11 S22 S33 S44 ,6.337,-9.305995314
,2021/6/13 15:19,2021/6/13 15:19,HV0-1,PASS,NONE,6.456,-12.05261905
,2021/6/13 15:19,2021/6/13 15:19,HV0-1,FAIL,S44 ,6.426,-10.99839403
AMV0311820024671W30,2021/6/13 15:19,2021/6/13 15:19,HV0-1,FAIL,S11 S22 S33 S44 ,6.347,-9.274416168
,2021/6/13 15:19,2021/6/13 15:19,HV0-1,PASS,NONE,6.456,-11.94533864
,2021/6/13 15:19,2021/6/13 15:19,HV0-1,FAIL,S44 ,6.436,-11.04489281
AMV0311820024671W30,2021/6/13 15:20,2021/6/13 15:20,HV0-1,FAIL,S11 S33 S44 ,6.347,-9.281894018
,2021/6/13 15:20,2021/6/13 15:20,HV0-1,FAIL,S44 ,6.456,-11.93124407
,2021/6/13 15:20,2021/6/13 15:20,HV0-1,FAIL,S44 ,6.436,-11.03321432
AMV0311820024671W30,2021/6/13 15:20,2021/6/13 15:20,HV0-1,FAIL,S11 S22 S33 S44 ,6.347,-9.23913553
,2021/6/13 15:20,2021/6/13 15:20,HV0-1,PASS,NONE,6.456,-11.93259395
,2021/6/13 15:20,2021/6/13 15:20,HV0-1,FAIL,S44 ,6.436,-11.03204529
AMV0311820024671W30,2021/6/13 15:20,2021/6/13 15:20,HV0-1,FAIL,S11 S22 S33 S44 ,6.347,-9.229935543
,2021/6/13 15:20,2021/6/13 15:21,HV0-1,PASS,NONE,6.456,-11.91176756
,2021/6/13 15:21,2021/6/13 15:21,HV0-1,FAIL,S44 ,6.436,-11.01396961
AMV0309820024671W30,2021/6/13 15:21,2021/6/13 15:21,HV0-1,FAIL,S11 ,6.416,-10.08948664
,2021/6/13 15:21,2021/6/13 15:21,HV0-1,PASS,NONE,6.476,-12.47791887
,2021/6/13 15:21,2021/6/13 15:21,HV0-1,PASS,NONE,6.476,-11.65284988
AMV0309820024671W30,2021/6/13 15:21,2021/6/13 15:21,HV0-1,FAIL,S11 ,6.416,-10.11345452
,2021/6/13 15:21,2021/6/13 15:21,HV0-1,PASS,NONE,6.476,-12.53156117
,2021/6/13 15:21,2021/6/13 15:21,HV0-1,PASS,NONE,6.476,-11.66063352
AMV0309820024671W30,2021/6/13 15:22,2021/6/13 15:22,HV0-1,FAIL,S11 ,6.416,-10.23374456
,2021/6/13 15:22,2021/6/13 15:22,HV0-1,PASS,NONE,6.476,-12.54917654
,2021/6/13 15:22,2021/6/13 15:22,HV0-1,PASS,NONE,6.476,-11.67449598
AMV0309820024671W30,2021/6/13 15:22,2021/6/13 15:22,HV0-1,FAIL,S11 ,6.416,-10.19769865
,2021/6/13 15:22,2021/6/13 15:22,HV0-1,PASS,NONE,6.476,-12.68283148
,2021/6/13 15:22,2021/6/13 15:22,HV0-1,PASS,NONE,6.476,-11.70679132
AMV0309820024671W30,2021/6/13 15:22,2021/6/13 15:22,HV0-1,FAIL,S11 ,6.416,-10.2235475
,2021/6/13 15:22,2021/6/13 15:22,HV0-1,PASS,NONE,6.476,-12.68974555
,2021/6/13 15:23,2021/6/13 15:23,HV0-1,PASS,NONE,6.476,-11.69819057
AMV0309820024671W30,2021/6/13 15:23,2021/6/13 15:23,HV0-1,FAIL,S11 ,6.416,-10.21526221
,2021/6/13 15:23,2021/6/13 15:23,HV0-1,PASS,NONE,6.476,-12.65410942
,2021/6/13 15:23,2021/6/13 15:23,HV0-1,PASS,NONE,6.476,-11.78384542
AMV0309820024671W30,2021/6/13 15:23,2021/6/13 15:23,HV0-1,FAIL,S11 ,6.416,-10.24471078
,2021/6/13 15:23,2021/6/13 15:23,HV0-1,PASS,NONE,6.476,-12.68889951
,2021/6/13 15:23,2021/6/13 15:23,HV0-1,PASS,NONE,6.476,-11.78626452
AMV0309820024671W30,2021/6/13 15:24,2021/6/13 15:24,HV0-1,FAIL,S11 ,6.416,-10.24235825
,2021/6/13 15:24,2021/6/13 15:24,HV0-1,PASS,NONE,6.476,-12.70708179
,2021/6/13 15:24,2021/6/13 15:24,HV0-1,PASS,NONE,6.476,-11.79537782
AMV0309820024671W30,2021/6/13 15:24,2021/6/13 15:24,HV0-1,FAIL,S11 ,6.416,-10.23361641
,2021/6/13 15:24,2021/6/13 15:24,HV0-1,PASS,NONE,6.476,-12.71988346
,2021/6/13 15:24,2021/6/13 15:24,HV0-1,PASS,NONE,6.476,-11.8001318
AMV0411820024671W30,2021/6/13 15:25,2021/6/13 15:25,HV0-1,FAIL,S11 S22 S33 S44 ,6.347,-9.217439971
,2021/6/13 15:25,2021/6/13 15:25,HV0-1,FAIL,S44 ,6.406,-12.08651388
,2021/6/13 15:25,2021/6/13 15:25,HV0-1,FAIL,S44 ,6.416,-11.94450292
AMV0411820024671W30,2021/6/13 15:25,2021/6/13 15:25,HV0-1,FAIL,S11 S22 S33 S44 ,6.347,-9.213426102
,2021/6/13 15:25,2021/6/13 15:25,HV0-1,FAIL,S44 ,6.406,-12.03880634
,2021/6/13 15:25,2021/6/13 15:25,HV0-1,FAIL,S44 ,6.416,-11.90784847
AMV0411820024671W30,2021/6/13 15:25,2021/6/13 15:25,HV0-1,FAIL,S11 S22 S33 S44 ,6.347,-9.19154567
,2021/6/13 15:25,2021/6/13 15:25,HV0-1,FAIL,S44 ,6.406,-12.05562468
,2021/6/13 15:25,2021/6/13 15:26,HV0-1,FAIL,S44 ,6.416,-11.90116495
AMV0411820024671W30,2021/6/13 15:26,2021/6/13 15:26,HV0-1,FAIL,S11 S33 S44 ,6.347,-9.177182688
,2021/6/13 15:26,2021/6/13 15:26,HV0-1,FAIL,S44 ,6.406,-12.01951204
,2021/6/13 15:26,2021/6/13 15:26,HV0-1,FAIL,S44 ,6.416,-11.80489095
AMV0411820024671W30,2021/6/13 15:27,2021/6/13 15:27,HV0-1,FAIL,S11 S22 S33 S44 ,6.347,-9.156196045
,2021/6/13 15:27,2021/6/13 15:27,HV0-1,FAIL,S44 ,6.406,-11.97820581
