SWVersion:1.0
Serial Number,Test Start Time,Test Stop Time, SubStation ID, Overall Result, FailingBands,Frequency（GHz）,Mag Log(dB),
AMV1002820024671W31,2021/6/13 16:46:31,2021/6/13 16:46:33,HV0-1,FAIL,S33 ,6.396,-11.7776605161,
,2021/6/13 16:46:35,2021/6/13 16:46:37,HV0-1,PASS,NONE,6.456,-12.9984580006,
,2021/6/13 16:46:39,2021/6/13 16:46:41,HV0-1,PASS,NONE,6.466,-12.486703823,
,2021/6/13 16:46:43,2021/6/13 16:46:46,HV0-1,PASS,NONE,6.466,-12.855578895,
,2021/6/13 16:46:48,2021/6/13 16:46:50,HV0-1,PASS,NONE,6.446,-12.9097342953,
,2021/6/13 16:46:52,2021/6/13 16:46:54,HV0-1,PASS,NONE,6.456,-13.4313126051,
,2021/6/13 16:46:56,2021/6/13 16:46:58,HV0-1,PASS,NONE,6.456,-13.0801329866,
,2021/6/13 16:47:00,2021/6/13 16:47:02,HV0-1,PASS,NONE,6.446,-13.6664844414,
,2021/6/13 16:47:04,2021/6/13 16:47:06,HV0-1,PASS,NONE,6.446,-12.7582588951,
,2021/6/13 16:47:08,2021/6/13 16:47:11,HV0-1,PASS,NONE,6.466,-13.3468573925,
,2021/6/13 16:47:12,2021/6/13 16:47:15,HV0-1,PASS,NONE,6.446,-12.9857154596,
,2021/6/13 16:47:17,2021/6/13 16:47:19,HV0-1,PASS,NONE,6.446,-12.7393485791,
,2021/6/13 16:47:21,2021/6/13 16:47:23,HV0-1,FAIL,S11 ,6.436,-12.8542913221,
,2021/6/13 16:47:25,2021/6/13 16:47:27,HV0-1,FAIL,S11 S22 S33 ,6.377,-11.3237978787,
