SWVersion:1.0
Serial Number,Test Start Time,Test Stop Time, SubStation ID, Overall Result, FailingBands,Frequency（GHz）,Mag Log(dB),
AMV0411820024671W30,2021/6/13 15:37:03,2021/6/13 15:37:06,HV0-1,FAIL,S11 S22 S33 S44 ,6.347,-9.49753471302,
,2021/6/13 15:37:07,2021/6/13 15:37:10,HV0-1,FAIL,S44 ,6.446,-13.6935504994,
,2021/6/13 15:37:12,2021/6/13 15:37:15,HV0-1,FAIL,S44 ,6.456,-12.5394870007,
,2021/6/13 15:37:17,2021/6/13 15:37:20,HV0-1,FAIL,S44 ,6.436,-12.8627474532,
,2021/6/13 15:37:22,2021/6/13 15:37:25,HV0-1,FAIL,S44 ,6.456,-13.5744836339,
,2021/6/13 15:37:27,2021/6/13 15:37:30,HV0-1,FAIL,S44 ,6.476,-12.7156509392,
,2021/6/13 15:37:31,2021/6/13 15:37:34,HV0-1,FAIL,S44 ,6.466,-13.4760032959,
,2021/6/13 15:37:36,2021/6/13 15:37:39,HV0-1,FAIL,S44 ,6.456,-13.0151683743,
,2021/6/13 15:37:41,2021/6/13 15:37:44,HV0-1,FAIL,S44 ,6.466,-13.3894356879,
,2021/6/13 15:37:46,2021/6/13 15:37:49,HV0-1,FAIL,S44 ,6.466,-13.3153640948,
,2021/6/13 15:37:51,2021/6/13 15:37:54,HV0-1,FAIL,S44 ,6.466,-13.4579832464,
,2021/6/13 15:37:56,2021/6/13 15:37:59,HV0-1,FAIL,S44 ,6.476,-13.3583238525,
,2021/6/13 15:38:00,2021/6/13 15:38:03,HV0-1,FAIL,S44 ,6.476,-13.8565952516,
,2021/6/13 15:38:05,2021/6/13 15:38:08,HV0-1,FAIL,S44 ,6.495,-13.1818444354,
AMV0309820024671W30,2021/6/13 15:39:01,2021/6/13 15:39:04,HV0-1,FAIL,S11 ,6.386,-10.2352026484,
,2021/6/13 15:39:05,2021/6/13 15:39:08,HV0-1,PASS,NONE,6.446,-13.6268697175,
,2021/6/13 15:39:10,2021/6/13 15:39:13,HV0-1,PASS,NONE,6.466,-12.0871404025,
,2021/6/13 15:39:15,2021/6/13 15:39:18,HV0-1,PASS,NONE,6.466,-12.1176452563,
,2021/6/13 15:39:20,2021/6/13 15:39:23,HV0-1,PASS,NONE,6.456,-12.7513055785,
,2021/6/13 15:39:25,2021/6/13 15:39:28,HV0-1,PASS,NONE,6.466,-12.7276253238,
,2021/6/13 15:39:29,2021/6/13 15:39:32,HV0-1,PASS,NONE,6.486,-12.5862434046,
,2021/6/13 15:39:34,2021/6/13 15:39:37,HV0-1,PASS,NONE,6.476,-12.2286252959,
,2021/6/13 15:39:39,2021/6/13 15:39:42,HV0-1,PASS,NONE,6.426,-12.5694933327,
,2021/6/13 15:39:44,2021/6/13 15:39:47,HV0-1,PASS,NONE,6.456,-12.5875667551,
,2021/6/13 15:39:49,2021/6/13 15:39:52,HV0-1,PASS,NONE,6.515,-12.387697686,
,2021/6/13 15:39:54,2021/6/13 15:39:57,HV0-1,PASS,NONE,6.476,-12.3359957027,
,2021/6/13 15:39:59,2021/6/13 15:40:02,HV0-1,PASS,NONE,6.476,-13.5570270739,
,2021/6/13 15:40:03,2021/6/13 15:40:07,HV0-1,PASS,NONE,6.486,-11.7760479994,
AMV0311820024671W30,2021/6/13 15:40:36,2021/6/13 15:40:39,HV0-1,FAIL,S11 S33 S44 ,6.386,-10.6384436737,
,2021/6/13 15:40:41,2021/6/13 15:40:44,HV0-1,FAIL,S44 ,6.476,-13.591494172,
,2021/6/13 15:40:46,2021/6/13 15:40:49,HV0-1,FAIL,S44 ,6.436,-11.8222084999,
,2021/6/13 15:40:51,2021/6/13 15:40:54,HV0-1,FAIL,S44 ,6.515,-12.1356781996,
,2021/6/13 15:40:56,2021/6/13 15:40:59,HV0-1,FAIL,S44 ,6.525,-12.5628106225,
,2021/6/13 15:41:01,2021/6/13 15:41:04,HV0-1,FAIL,S44 ,6.476,-12.3634780819,
,2021/6/13 15:41:05,2021/6/13 15:41:08,HV0-1,FAIL,S44 ,6.436,-12.842047697,
,2021/6/13 15:41:10,2021/6/13 15:41:13,HV0-1,FAIL,S44 ,6.495,-11.6757595388,
,2021/6/13 15:41:15,2021/6/13 15:41:18,HV0-1,FAIL,S44 ,6.525,-12.1763257582,
,2021/6/13 15:41:20,2021/6/13 15:41:23,HV0-1,FAIL,S44 ,6.495,-12.6431261758,
,2021/6/13 15:41:25,2021/6/13 15:41:28,HV0-1,FAIL,S44 ,6.466,-12.7252600472,
,2021/6/13 15:41:30,2021/6/13 15:41:33,HV0-1,FAIL,S44 ,6.476,-12.293536171,
,2021/6/13 15:41:34,2021/6/13 15:41:37,HV0-1,FAIL,S44 ,6.486,-13.0949314513,
,2021/6/13 15:41:39,2021/6/13 15:41:42,HV0-1,FAIL,S44 ,6.476,-11.9940052801,
AMV0412820024671W30,2021/6/13 15:42:07,2021/6/13 15:42:10,HV0-1,PASS,NONE,6.436,-12.5584131758,
,2021/6/13 15:42:12,2021/6/13 15:42:15,HV0-1,FAIL,S44 ,6.446,-13.96134892,
,2021/6/13 15:42:17,2021/6/13 15:42:20,HV0-1,FAIL,S44 ,6.446,-13.003735376,
,2021/6/13 15:42:22,2021/6/13 15:42:25,HV0-1,FAIL,S44 ,6.446,-13.2412590782,
,2021/6/13 15:42:27,2021/6/13 15:42:30,HV0-1,FAIL,S44 ,6.446,-12.9764499174,
,2021/6/13 15:42:31,2021/6/13 15:42:34,HV0-1,FAIL,S44 ,6.426,-12.9973684524,
,2021/6/13 15:42:36,2021/6/13 15:42:39,HV0-1,FAIL,S44 ,6.426,-13.2824041719,
,2021/6/13 15:42:41,2021/6/13 15:42:44,HV0-1,FAIL,S44 ,6.436,-12.3733185201,
,2021/6/13 15:42:46,2021/6/13 15:42:49,HV0-1,FAIL,S44 ,6.426,-12.7029299365,
,2021/6/13 15:42:51,2021/6/13 15:42:54,HV0-1,FAIL,S44 ,6.436,-12.8180037376,
,2021/6/13 15:42:56,2021/6/13 15:42:59,HV0-1,FAIL,S44 ,6.446,-12.1205988223,
,2021/6/13 15:43:00,2021/6/13 15:43:03,HV0-1,FAIL,S44 ,6.426,-12.1379286484,
,2021/6/13 15:43:05,2021/6/13 15:43:08,HV0-1,FAIL,S33 S44 ,6.416,-12.7872457409,
,2021/6/13 15:43:10,2021/6/13 15:43:13,HV0-1,FAIL,S11 S22 S33 S44 ,6.386,-10.1506085573,
