SWVersion:1.0
Serial Number,Test Start Time,Test Stop Time, SubStation ID, Overall Result, FailingBands,Frequency（GHz）,Mag Log(dB),
,2021/6/10 17:30:03,2021/6/10 17:30:05,HV0-1,PASS,NONE,6.535,-12.3054251836,
AMV0112820024671W31,2021/6/10 17:30:22,2021/6/10 17:30:24,HV0-1,FAIL,S44 ,6.535,-12.3228957068,
,2021/6/10 17:30:26,2021/6/10 17:30:28,HV0-1,PASS,NONE,6.525,-15.1687333961,
,2021/6/10 17:30:30,2021/6/10 17:30:32,HV0-1,PASS,NONE,6.515,-14.4139375666,
,2021/6/10 17:30:34,2021/6/10 17:30:37,HV0-1,PASS,NONE,6.505,-14.774992979,
,2021/6/10 17:30:39,2021/6/10 17:30:41,HV0-1,PASS,NONE,6.466,-14.5317698452,
,2021/6/10 17:30:43,2021/6/10 17:30:46,HV0-1,PASS,NONE,6.466,-14.0261261739,
,2021/6/10 17:30:48,2021/6/10 17:30:51,HV0-1,PASS,NONE,6.525,-13.8580019078,
,2021/6/10 17:30:53,2021/6/10 17:30:55,HV0-1,PASS,NONE,6.525,-13.7826005893,
,2021/6/10 17:30:57,2021/6/10 17:31:00,HV0-1,PASS,NONE,6.456,-14.3080076914,
,2021/6/10 17:31:02,2021/6/10 17:31:04,HV0-1,PASS,NONE,6.466,-14.0688090363,
,2021/6/10 17:31:06,2021/6/10 17:31:09,HV0-1,PASS,NONE,6.466,-13.1848155727,
,2021/6/10 17:31:11,2021/6/10 17:31:13,HV0-1,PASS,NONE,6.466,-12.3033844029,
,2021/6/10 17:31:15,2021/6/10 17:31:18,HV0-1,FAIL,S44 ,6.466,-12.3222472688,
,2021/6/10 17:31:19,2021/6/10 17:31:22,HV0-1,PASS,NONE,6.604,-11.8763932685,
AMV0112820024671W31,2021/6/10 17:33:12,2021/6/10 17:33:13,HV0-1,PASS,NONE,6.545,-12.32952189,
,2021/6/10 17:33:15,2021/6/10 17:33:17,HV0-1,PASS,NONE,6.525,-15.5218487577,
,2021/6/10 17:33:19,2021/6/10 17:33:21,HV0-1,PASS,NONE,6.515,-14.4049416356,
,2021/6/10 17:33:23,2021/6/10 17:33:25,HV0-1,PASS,NONE,6.505,-14.7217183747,
,2021/6/10 17:33:27,2021/6/10 17:33:29,HV0-1,PASS,NONE,6.466,-14.4842499762,
,2021/6/10 17:33:30,2021/6/10 17:33:32,HV0-1,PASS,NONE,6.466,-13.9413722633,
,2021/6/10 17:33:34,2021/6/10 17:33:36,HV0-1,PASS,NONE,6.525,-14.0596895524,
,2021/6/10 17:33:38,2021/6/10 17:33:40,HV0-1,PASS,NONE,6.525,-13.6586111713,
,2021/6/10 17:33:42,2021/6/10 17:33:44,HV0-1,PASS,NONE,6.456,-14.202509919,
,2021/6/10 17:33:46,2021/6/10 17:33:48,HV0-1,PASS,NONE,6.456,-13.6937367665,
,2021/6/10 17:33:50,2021/6/10 17:33:52,HV0-1,PASS,NONE,6.466,-13.2048100794,
,2021/6/10 17:33:54,2021/6/10 17:33:56,HV0-1,PASS,NONE,6.466,-12.3340718096,
,2021/6/10 17:33:57,2021/6/10 17:33:59,HV0-1,FAIL,S44 ,6.466,-12.4185884888,
,2021/6/10 17:34:01,2021/6/10 17:34:03,HV0-1,PASS,NONE,6.604,-11.9511295682,
AMV0112820024671W31,2021/6/10 17:39:27,2021/6/10 17:39:29,HV0-1,PASS,NONE,6.535,-12.9686354821,
,2021/6/10 17:39:30,2021/6/10 17:39:32,HV0-1,PASS,NONE,6.505,-16.2273774537,
,2021/6/10 17:39:34,2021/6/10 17:39:36,HV0-1,PASS,NONE,6.515,-14.2164823522,
,2021/6/10 17:39:39,2021/6/10 17:39:40,HV0-1,PASS,NONE,6.466,-14.7916135596,
,2021/6/10 17:39:42,2021/6/10 17:39:44,HV0-1,PASS,NONE,6.466,-14.428612522,
,2021/6/10 17:39:46,2021/6/10 17:39:48,HV0-1,PASS,NONE,6.466,-13.9011535,
,2021/6/10 17:39:50,2021/6/10 17:39:52,HV0-1,PASS,NONE,6.456,-14.2844944141,
,2021/6/10 17:39:54,2021/6/10 17:39:56,HV0-1,PASS,NONE,6.505,-13.624277843,
,2021/6/10 17:39:58,2021/6/10 17:40:00,HV0-1,PASS,NONE,6.456,-14.2784779929,
,2021/6/10 17:40:02,2021/6/10 17:40:04,HV0-1,PASS,NONE,6.466,-13.8560624355,
,2021/6/10 17:40:06,2021/6/10 17:40:08,HV0-1,PASS,NONE,6.466,-13.1603302878,
,2021/6/10 17:40:10,2021/6/10 17:40:12,HV0-1,PASS,NONE,6.505,-12.2359704618,
,2021/6/10 17:40:13,2021/6/10 17:40:15,HV0-1,FAIL,S44 ,6.515,-12.2381015291,
,2021/6/10 17:40:17,2021/6/10 17:40:19,HV0-1,PASS,NONE,6.604,-11.4909698191,
